Participant ID,CCP1-A-I
Key.shift,2019-11-08 15:14:18.098892	
Key.shift,2019-11-08 15:14:21.116152	
'i',2019-11-08 15:14:21.311101	
Key.space,2019-11-08 15:14:21.538628	
'm',2019-11-08 15:14:21.879158	
'i',2019-11-08 15:14:22.063599	
's',2019-11-08 15:14:22.347036	
's',2019-11-08 15:14:22.538716	
Key.space,2019-11-08 15:14:22.807256	
'm',2019-11-08 15:14:23.119565	
'i',2019-11-08 15:14:23.287743	
'n',2019-11-08 15:14:23.396559	
'e',2019-11-08 15:14:23.680396	
Key.space,2019-11-08 15:14:24.358894	
't',2019-11-08 15:14:24.526306	
'o',2019-11-08 15:14:24.646242	
'o',2019-11-08 15:14:24.838737	
Key.shift,2019-11-08 15:14:25.327487	
Key.esc,2019-11-08 15:14:34.005492	
